case_id,zone_codes,zone_names,region,time_period,report_url,source_quote_or_paraphrase,candidate_taxonomy_cause,ground_truth_cause,ground_truth_notes
C01_borena_drought_2021Q4,ET0412,Borena,Oromia,2021-10 to 2021-12,https://fews.net/east-africa/ethiopia/food-security-outlook/october-2021,"""rainfall was at least 60 percent lower than normal"" with ""driest conditions for October in forty years""; Crisis (IPC Phase 3), Emergency expected February 2022",DROUGHT,DROUGHT,
C02_somali_pastoral_drought_2021Q4,"ET0511,ET0509,ET0508","Daawa, Liban, Afder",Somali,2021-10 to 2021-12,https://fews.net/east-africa/ethiopia/food-security-outlook/october-2021,"same drought driver as Borena: ""prolonged drought and poor rainfall"", Crisis (IPC Phase 3), Emergency expected February 2022",DROUGHT,DROUGHT,
C03_ssepastoral_drought_2022Q2,"ET0412,ET0508,ET0511,ET0509,ET0506","Borena, Afder, Daawa, Liban, Shabelle",Oromia/Somali,2022-06 to 2022-08,https://fews.net/east-africa/ethiopia/food-security-outlook/june-2022,"""unprecedented fifth consecutive poor rainfall season""; ""Emergency (IPC Phase 4) is also expected to be widespread in southern and southeastern pastoral areas""; livestock deaths ~3.4 million as of early June",DROUGHT,DROUGHT,
C04_ssepastoral_drought_2022Q4,"ET0412,ET0508,ET0511,ET0509,ET0506,ET0504,ET0503,ET0507,ET0505","Borena, Dawa, Liban, Afder, Shabelle, Erer, Jarar, Doolo, Korahe",Oromia/Somali,2022-10 to 2022-12,https://fews.net/east-africa/ethiopia/food-security-outlook/october-2022,"""The current drought, which is unprecedented on the available historical record, is expected to persist through at least mid-2023""; ~4.5 million livestock deaths since October 2021; Emergency Phase 4! / Crisis Phase 3!",DROUGHT,DROUGHT,
C05_tigray_conflict_2021Q1,"ET0101,ET0102,ET0103,ET0104,ET0105,ET0106,ET0107",all 7 Tigray admin2 zones,Tigray,2021-02 to 2021-04,https://fews.net/east-africa/ethiopia/food-security-outlook/february-2021,"""Large food consumption gaps indicative of Emergency (IPC Phase 4) outcomes...conflict will continue to significantly limit access to typical sources of income"" (central/eastern Tigray); Crisis (Phase 3) in southern/central/northwestern Tigray, ""conflict is still a driver""",CONFLICT,CONFLICT,
C06_tigray_conflict_2022Q2,"ET0101,ET0102,ET0103,ET0104,ET0105,ET0106,ET0107",all 7 Tigray admin2 zones,Tigray,2022-06 to 2022-08,https://fews.net/east-africa/ethiopia/food-security-outlook/june-2022,"""Emergency (IPC Phase 4) outcomes, at a minimum, are expected to be widespread"" due to the humanitarian truce's limited impact; ""seasonal labor migration...is not a viable option due to insecurity""",CONFLICT,CONFLICT,
C07_amhara_border_conflict_2021Q4,"ET0308,ET0303","Wag Hamra, North Wello",Amhara,2021-10 to 2021-12,https://fews.net/east-africa/ethiopia/food-security-outlook/october-2021,"""conflict and continued presence of armed combatants has most significantly disrupted livelihood activities and led to the destruction of assets""; Emergency (IPC Phase 4)",CONFLICT,CONFLICT,
C08_amhara_border_conflict_2022Q4,"ET0308,ET0303","Wag Hamra, North Wello",Amhara,2022-10 to 2022-12,https://fews.net/east-africa/ethiopia/food-security-outlook/october-2022,"""Conflict resulted in reduced engagement in the main crop production season...households are expected to harvest fewer food stocks than usual and deplete them earlier than normal""; Emergency Phase 4 in worst-affected areas",CONFLICT,CONFLICT,
C09_afar_zone2_zone4_conflict_2021Q4,"ET0202,ET0204","Kilbati-Zone 2, Fanti-Zone 4",Afar,2021-10 to 2021-12,https://fews.net/east-africa/ethiopia/food-security-outlook/october-2021,"""large-scale livestock losses are substantially limiting households' capacity to earn income"" -- report attributes to conflict-driven displacement + market disruption, not drought; Emergency (IPC Phase 4)",CONFLICT,CONFLICT,
C10_southern_afar_flooding_2020Q3,"ET0201,ET0203","Awsi-Zone 1, Gabi-Zone 3 (woredas Amibara/Asayita/Afambo/Dupty/Mille/Gewane/Awash Fentale span both)",Afar,2020-08 to 2020-10,https://fews.net/east-africa/ethiopia/food-security-outlook-update/august-2020,"""Crisis (IPC Phase 3) outcomes have emerged in some southern areas of Afar as flooding has led to displacement of people, damage of crop fields, and the loss of livestock""; over 139,000 people displaced by mid-August across Afar/Somali/Oromia/SNNP/Gambela/Amhara. Window widened to 2020-10 (vs. the report's own Aug-Sep 2020 language) because IPC assessments for these zones only land in Feb/Jun/Oct -- no observed row exists inside Aug-Sep; October is the nearest real assessment likely to reflect the flooding's aftermath.",FLOODING,FLOODING,
